"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"Adt","BOTTEMP","chl2","chl4","DEPTH","grnszmm","sand_pct","SURFTEMP","Stg",NA,NA,NA,NA
"Juv","BOTTEMP","chl10","chl2","chl4","ctyp_100m3","DEPTH","grnszmm","Stg",NA,NA,NA,NA
