"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"Adt","BOTTEMP","chl10","chl2","chl4","ctyp_100m3","DEPTH","grnszmm",NA,NA,NA,NA,NA
"Ich","calfin_100m3","chaeto_100m3","cham_100m3","chl10","larvaceans_100m3","para_100m3","pseudo_100m3","volume_100m3",NA,NA,NA,NA
"Juv","BOTTEMP","chl10","chl4","ctyp_100m3","DEPTH","grnszmm","sand_pct",NA,NA,NA,NA,NA
