"","CTA","RF","FDA","ANN","GAM","GBM"
"DEPTH",0.204,0.106,0.0863333333333333,0.217666666666667,0.111,0.0443333333333333
"SURFTEMP",0.0253333333333333,0.048,0.0123333333333333,0.0273333333333333,0.0166666666666667,0.00133333333333333
"BOTTEMP",0.0736666666666667,0.0863333333333333,0.036,0.0976666666666667,0.091,0.024
"ctyp_100m3",0.250333333333333,0.122333333333333,0.0606666666666667,0.0966666666666667,0.131333333333333,0.163333333333333
"chl10",0.475333333333333,0.242,0.277666666666667,0.342666666666667,0.316666666666667,0.272
"chl2",0.249666666666667,0.168666666666667,0.116666666666667,0.195333333333333,0.0793333333333333,0.0613333333333333
"grnszmm",0.273333333333333,0.213333333333333,0.364666666666667,0.19,0.165666666666667,0.156666666666667
